image_id,year,image_path,mean_brightness,mean_red,mean_green,mean_blue
00101,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7125_alvin-record_548081_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0003.jpg",0.4878659399083017,0.5129411536069651,0.5052491906277436,0.4454074754901961
00102,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7127_alvin-record_548253_Meny, Alphyddans Restaurant, 1886/0001.jpg",0.6495012519810555,0.7267386066268613,0.6741103390369305,0.5476548102793748
00103,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7127_alvin-record_548253_Meny, Alphyddans Restaurant, 1886/0002.jpg",0.6822076799663483,0.758629711759239,0.7100444638822071,0.577948864257599
00104,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7130_alvin-record_548205_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0001.jpg",0.6823308930226318,0.7726126262071993,0.6890271299751244,0.5853529228855721
00105,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7130_alvin-record_548205_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0002.jpg",0.7253433694752663,0.8115904020684501,0.732555309349192,0.6318843970081574
00106,1886,"data/MA_Menyer/menus_by_year_swedish_only/1886/7130_alvin-record_548205_Meny, Vin-etablissement, Lilly Lundstedt National, 1886/0003.jpg",0.6703785387853057,0.7634933172487745,0.6742497063929739,0.573392592714169
00107,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/6165_alvin-record_547152_Meny, Grand Hotel, Hotel Rydberg, 1887/0001.jpg",0.6174130409244307,0.6693874251089325,0.6493191721132897,0.5335325255510701
00108,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/6183_alvin-record_547257_Meny, Grand Hotel, 1887/0001.jpg",0.4770330007002801,0.5156192008053222,0.5067590161064425,0.4087207851890756
00109,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/6183_alvin-record_547257_Meny, Grand Hotel, 1887/0002.jpg",0.7192071552731971,0.7848418976638774,0.7454782167835755,0.6273013513721388
00110,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7128_alvin-record_548040_Meny, 1887/0001.jpg",0.6570115405938016,0.7055213972608274,0.6926200408047835,0.572893183715794
00111,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7128_alvin-record_548040_Meny, 1887/0002.jpg",0.7181651454179517,0.7730706489934458,0.7505416812968165,0.6308831059635933
00112,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7128_alvin-record_548040_Meny, 1887/0003.jpg",0.6401009838419282,0.6858598185420282,0.6774992155877096,0.5569439173960469
00113,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7343_alvin-record_548434_Meny, Stora Teatern, 1887/0001.jpg",0.6401801684854233,0.6914533746059732,0.6738351164716568,0.5552520143786397
00114,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7343_alvin-record_548434_Meny, Stora Teatern, 1887/0002.jpg",0.7229289172776954,0.7772442647402097,0.7539734245413852,0.6375690625514912
00115,1887,"data/MA_Menyer/menus_by_year_swedish_only/1887/7343_alvin-record_548434_Meny, Stora Teatern, 1887/0003.jpg",0.6640635643732969,0.7104957850817438,0.6995746889525565,0.5821202190855906
00116,1888,"data/MA_Menyer/menus_by_year_swedish_only/1888/0706_alvin-record_541875_Meny, Middag för kaptenen P. Laurell, 1888/0001.jpg",0.7992904223491074,0.8826371059946326,0.8231876523304854,0.692046508722204
00117,1888,"data/MA_Menyer/menus_by_year_swedish_only/1888/0706_alvin-record_541875_Meny, Middag för kaptenen P. Laurell, 1888/0002.jpg",0.8605711902816683,0.9479162590281209,0.887339240230406,0.7464580715864776
00118,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/0186_alvin-record_541092_Meny, Grand hotel Royal, 1889/0001.jpg",0.6577509854547232,0.7229349530054188,0.6826409182797051,0.5676770850790459
00119,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/0186_alvin-record_541092_Meny, Grand hotel Royal, 1889/0002.jpg",0.6660752866420411,0.7349562399322335,0.6908924684427595,0.5723771515511303
00120,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/0241_alvin-record_541241_Meny, Gala Diner, 1889/0001.jpg",0.6369437092061324,0.722398553854602,0.6496323320140899,0.5388002417497054
00121,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/0241_alvin-record_541241_Meny, Gala Diner, 1889/0002.jpg",0.8755030331168415,0.9461353076769925,0.9019086923985281,0.778465099275004
00122,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/0241_alvin-record_541241_Meny, Gala Diner, 1889/0003.jpg",0.8667928279084071,0.9437403837737017,0.8939416932638442,0.7626964066876751
00123,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7117_alvin-record_548237_Meny, Frimurarlogens Restaurant, 1889/0001.jpg",0.7683162244750695,0.8078945509715864,0.791107628493014,0.7059464939606082
00124,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7132_alvin-record_548035_Meny, Frimurarelogens Restaurant, 1889/0001.jpg",0.6979511259344059,0.7268463532493836,0.7242306976121287,0.6427763269417048
00125,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7135_alvin-record_548102_Meny, Frimurarehotellet, 1889/0001.jpg",0.7188713639937108,0.7695180991028486,0.7483820928135405,0.6387139000647427
00126,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7135_alvin-record_548102_Meny, Frimurarehotellet, 1889/0002.jpg",0.6966516993310482,0.7434729689573197,0.7280435981958574,0.6184385308399676
00127,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7136_alvin-record_548149_Meny, P.B., 1889/0001.jpg",0.6239134663831911,0.715637890602927,0.6523768594253263,0.5037256491213199
00128,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7136_alvin-record_548149_Meny, P.B., 1889/0002.jpg",0.7588620035876669,0.8237368348607558,0.7876226378232452,0.6652265380789998
00129,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7138_alvin-record_548278_Meny, Opera-Källaren, 1889/0001.jpg",0.5831685153920582,0.6571488470765949,0.6046320104703513,0.4877246886292281
00130,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7139_alvin-record_548062_Meny, Jones Restaurant & Grill, 1889/0001.jpg",0.6440792177599888,0.7412930467485159,0.6452356492099899,0.5457089573214606
00131,1889,"data/MA_Menyer/menus_by_year_swedish_only/1889/7139_alvin-record_548062_Meny, Jones Restaurant & Grill, 1889/0002.jpg",0.6584149934012065,0.7552343985671192,0.6606948293740574,0.5593157522624435
